codigo_act,descripcion,categoria_negocio
327112,Actividad no identificada,otro
322121,Actividad no identificada,otro
327212,Actividad no identificada,otro
325110,Actividad no identificada,otro
327123,Actividad no identificada,otro
321113,Actividad no identificada,otro
327410,Actividad no identificada,otro
339913,Actividad no identificada,otro
332320,Actividad no identificada,otro
335999,Actividad no identificada,otro
332710,Actividad no identificada,otro
337110,Actividad no identificada,otro
337120,Actividad no identificada,otro
332810,Actividad no identificada,otro
332999,Actividad no identificada,otro
339999,Actividad no identificada,otro
331210,Actividad no identificada,otro
331112,Actividad no identificada,otro
331220,Actividad no identificada,otro
339112,Actividad no identificada,otro
331520,Actividad no identificada,otro
334310,Actividad no identificada,otro
339111,Actividad no identificada,otro
339920,Actividad no identificada,otro
336410,Actividad no identificada,otro
336360,Actividad no identificada,otro
337210,Actividad no identificada,otro
333411,Actividad no identificada,otro
333249,Actividad no identificada,otro
335220,Actividad no identificada,otro
333999,Actividad no identificada,otro
332510,Actividad no identificada,otro
334410,Actividad no identificada,otro
331490,Actividad no identificada,otro
332310,Actividad no identificada,otro
339950,Actividad no identificada,otro
335210,Actividad no identificada,otro
337920,Actividad no identificada,otro
335132,Actividad no identificada,otro
331310,Actividad no identificada,otro
336210,Actividad no identificada,otro
336320,Actividad no identificada,otro
334220,Actividad no identificada,otro
332110,Actividad no identificada,otro
336510,Actividad no identificada,otro
335910,Actividad no identificada,otro
332720,Actividad no identificada,otro
336370,Actividad no identificada,otro
333319,Actividad no identificada,otro
336610,Actividad no identificada,otro
339991,Actividad no identificada,otro
334290,Actividad no identificada,otro
339912,Actividad no identificada,otro
332910,Actividad no identificada,otro
339930,Actividad no identificada,otro
339113,Actividad no identificada,otro
336992,Actividad no identificada,otro
333610,Actividad no identificada,otro
336390,Actividad no identificada,otro
335930,Actividad no identificada,otro
334519,Actividad no identificada,otro
339940,Actividad no identificada,otro
332610,Actividad no identificada,otro
332212,Actividad no identificada,otro
332211,Actividad no identificada,otro
335131,Actividad no identificada,otro
333243,Actividad no identificada,otro
333510,Actividad no identificada,otro
335920,Actividad no identificada,otro
331111,Actividad no identificada,otro
337910,Actividad no identificada,otro
336310,Actividad no identificada,otro
333111,Actividad no identificada,otro
336999,Actividad no identificada,otro
333120,Actividad no identificada,otro
336340,Actividad no identificada,otro
333112,Actividad no identificada,otro
332410,Actividad no identificada,otro
332430,Actividad no identificada,otro
333920,Actividad no identificada,otro
339994,Actividad no identificada,otro
333910,Actividad no identificada,otro
335312,Actividad no identificada,otro
333412,Actividad no identificada,otro
331510,Actividad no identificada,otro
333991,Actividad no identificada,otro
336330,Actividad no identificada,otro
332420,Actividad no identificada,otro
339914,Actividad no identificada,otro
336110,Actividad no identificada,otro
335311,Actividad no identificada,otro
333241,Actividad no identificada,otro
336350,Actividad no identificada,otro
334110,Actividad no identificada,otro
339993,Actividad no identificada,otro
336120,Actividad no identificada,otro
339995,Actividad no identificada,otro
333130,Actividad no identificada,otro
333242,Actividad no identificada,otro
336991,Actividad no identificada,otro
333312,Actividad no identificada,otro
331419,Actividad no identificada,otro
333244,Actividad no identificada,otro
332991,Actividad no identificada,otro
334610,Actividad no identificada,otro
435319,Actividad no identificada,otro
431220,Actividad no identificada,otro
431110,Actividad no identificada,otro
431191,Actividad no identificada,otro
433410,Actividad no identificada,otro
431160,Actividad no identificada,otro
435311,Actividad no identificada,otro
434222,Actividad no identificada,otro
434229,Actividad no identificada,otro
435220,Actividad no identificada,otro
434221,Actividad no identificada,otro
431193,Actividad no identificada,otro
434230,Actividad no identificada,otro
434111,Actividad no identificada,otro
433110,Actividad no identificada,otro
434211,Actividad no identificada,otro
435313,Actividad no identificada,otro
434224,Actividad no identificada,otro
431199,Actividad no identificada,otro
431130,Actividad no identificada,otro
434311,Actividad no identificada,otro
435210,Actividad no identificada,otro
434219,Actividad no identificada,otro
434319,Actividad no identificada,otro
434240,Actividad no identificada,otro
431121,Actividad no identificada,otro
435110,Actividad no identificada,otro
431192,Actividad no identificada,otro
436112,Actividad no identificada,otro
431213,Actividad no identificada,otro
431150,Actividad no identificada,otro
432111,Actividad no identificada,otro
431211,Actividad no identificada,otro
435419,Actividad no identificada,otro
434226,Actividad no identificada,otro
434225,Actividad no identificada,otro
431123,Actividad no identificada,otro
434312,Actividad no identificada,otro
434223,Actividad no identificada,otro
